Thread Count,Mean Runtime (ms)
1,352.1333333333333
2,249.13333333333333
4,248.26666666666668
8,246.6
16,246.26666666666668
32,162.26666666666668
64,190
128,191.06666666666666
256,191.8
512,192.06666666666666
1024,188.93333333333334
