Thread Count,Mean Runtime (ms)
1,181.53333333333333
2,190.6
4,194
8,192.66666666666666
16,212.66666666666666
32,198.53333333333333
64,190.06666666666666
128,187.6
256,200.73333333333332
512,237.8
1024,235
